date,symbol,open,high,low,close,volume
2024-06-26,7741.T,18592.88311439776,18715.269127525706,18211.038753438563,18685.896484375,824000
2024-06-27,7741.T,18602.67300603217,18646.73196841488,18220.828665382036,18259.9921875,899600
2024-06-28,7741.T,18353.007275795244,18470.49785318097,18215.934935511897,18313.84375,907800
2024-07-01,7741.T,18338.32208156637,18592.88501489297,18181.66796875,18181.66796875,621500
2024-07-02,7741.T,18348.110596583592,19023.681370950864,18348.110596583592,19004.099609375,1259000
2024-07-03,7741.T,18994.30731844473,19160.752279482647,18886.607637773137,19043.26171875,822000
2024-07-04,7741.T,19057.950754020123,19385.945282794677,18994.310024556402,19312.513671875,759300
2024-07-05,7741.T,19214.604465766715,19425.108412780213,18906.191706188805,18999.205078125,839200
2024-07-08,7741.T,18999.205273287756,19361.467883497317,18999.205273287756,19155.859375,731100
2024-07-09,7741.T,19160.75640586035,19797.163746882794,19053.05670199501,19630.71875,1102100
2024-07-10,7741.T,19581.764398619187,20267.126152570858,19562.182634220568,20208.380859375,1447900
2024-07-11,7741.T,20462.943576597856,20644.07489533808,20183.90343691698,20335.662109375,1261800
2024-07-12,7741.T,19846.11766709805,20330.766322510655,19723.731643003957,20095.78515625,1331500
2024-07-16,7741.T,20095.785751305284,20320.976042306513,19846.118254760444,19924.4453125,758700
2024-07-17,7741.T,20179.005823266805,20536.37298122374,20085.992453387604,20389.509765625,1215100
2024-07-18,7741.T,19738.418732156762,19836.327555232936,18852.343883317382,18862.134765625,2149200
2024-07-19,7741.T,18891.503704861545,19576.86533188425,18886.608264668528,19513.224609375,1194400
2024-07-22,7741.T,19121.58842630968,19239.078984996686,18455.80859375,18455.80859375,1154200
2024-07-23,7741.T,18514.556865619932,18597.779358141226,18044.59455491144,18103.33984375,1049200
2024-07-24,7741.T,18113.13107777889,18583.093397634773,17971.163293655758,18343.216796875,1248500
2024-07-25,7741.T,18304.053917216035,18372.59009128424,17887.941431801923,17961.373046875,1106800
2024-07-26,7741.T,17780.24119946736,18157.190145601442,17770.45031774959,17922.208984375,741900
2024-07-29,7741.T,18220.829602429643,18666.31468943155,18083.757267967518,18612.46484375,976100
2024-07-30,7741.T,18357.902880105776,18543.929629290848,18152.29436784859,18397.06640625,752300
2024-07-31,7741.T,18137.606192148727,18632.045659195155,17971.161223043986,18543.927734375,1043200
2024-08-01,7741.T,18935.565385773556,19028.578762797777,17966.268088363224,18289.3671875,1937000
2024-08-02,7741.T,17506.09465186949,17819.40283355843,17153.622947469434,17217.263671875,1708900
2024-08-05,7741.T,16825.629484953704,17080.19239831349,15538.128596230159,15729.05078125,2313800
2024-08-06,7741.T,18470.497071877504,18778.909824469152,18015.221103766027,18328.529296875,3313500
2024-08-07,7741.T,18597.780548357485,19449.587291030348,18323.63584956622,18832.76171875,2554600
2024-08-08,7741.T,19057.950932737254,19532.808687804176,18700.583756243595,19111.80078125,1604900
2024-08-09,7741.T,19743.312043824575,19748.20748445037,19023.682271832953,19283.140625,2113300
2024-08-13,7741.T,19855.90603725416,19855.90603725416,19121.58998558056,19415.31640625,1292700
2024-08-14,7741.T,19488.74947767002,19537.70388479805,18857.23762571839,19165.650390625,1310400
2024-08-15,7741.T,18999.205406389687,19268.45464559387,18945.35555854885,19165.650390625,984100
2024-08-16,7741.T,19434.897761797663,19562.17920809659,19195.02118992661,19385.943359375,1265600
2024-08-19,7741.T,19400.630763742713,19596.44838437095,18832.75966392082,18896.400390625,700700
2024-08-20,7741.T,19092.218809637405,19493.644948711833,19018.78719883111,19239.08203125,771600
2024-08-21,7741.T,19082.427752573345,19444.690362550366,19023.682464468962,19439.794921875,710100
2024-08-22,7741.T,19273.348971679687,19601.34348046875,19243.976329101562,19581.76171875,645800
2024-08-23,7741.T,19674.77637168997,20237.75205786672,19596.449319700165,20174.111328125,836700
2024-08-26,7741.T,19939.129040931748,20022.351528949388,19498.53939848543,19948.919921875,751900
2024-08-27,7741.T,19880.38466159257,19992.979797573025,19728.626000053693,19944.025390625,619200
2024-08-28,7741.T,20120.262438817772,20316.080078125,19958.712886389305,20316.080078125,682800
2024-08-29,7741.T,20223.066032608695,20438.465428743963,20125.157216183576,20267.125,941900
2024-08-30,7741.T,20218.1701603848,20218.1701603848,19919.54827665999,20164.3203125,926700
2024-09-02,7741.T,20462.941475870062,20482.52323804793,20164.319602657604,20325.869140625,448500
2024-09-03,7741.T,20071.306546701602,20237.75152782059,19449.585587815967,19851.01171875,872900
2024-09-04,7741.T,19258.663598520074,19508.331072725596,19038.368768338732,19082.427734375,1225300
2024-09-05,7741.T,18602.67302879615,18920.876646393983,18529.241424735115,18827.86328125,821800
2024-09-06,7741.T,18847.44395602154,19023.67979561031,18700.58075636423,18749.53515625,774600
2024-09-09,7741.T,18201.24744786261,18935.563509503114,18113.129520465747,18867.02734375,753400
2024-09-10,7741.T,18896.40145321128,18994.310269031026,18607.570446543024,18617.361328125,621600
2024-09-11,7741.T,18602.674375,18651.62878125,18176.771040625,18357.90234375,719700
2024-09-12,7741.T,18842.55211900685,19067.742401541094,18720.16609589041,18940.4609375,987200
2024-09-13,7741.T,18778.909854352238,18847.44602170389,18646.732960174057,18685.896484375,937200
2024-09-17,7741.T,18744.6419377812,18896.400595412753,18348.11125171166,18769.119140625,1071500
2024-09-18,7741.T,18999.20471114953,19053.054557019834,18558.61506311978,18759.328125,735200
2024-09-19,7741.T,19150.964842732483,19165.65116546464,18720.166042589215,18793.59765625,775000
2024-09-20,7741.T,19219.498488765203,19430.00242025193,19131.3805639568,19322.302734375,1109200
2024-09-24,7741.T,19523.017370842674,19870.593658036716,19444.6903202074,19650.298828125,854100
2024-09-25,7741.T,19190.12540594753,19454.479174294767,19141.171004401745,19219.498046875,722100
2024-09-26,7741.T,19439.794474664137,19904.861328125,19395.73550959942,19904.861328125,1070500
2024-09-27,7741.T,19414.231509042107,20449.4609375,19365.168502954057,20449.4609375,1100500
2024-09-30,7741.T,19370.073765636847,19649.73288535349,19154.196550416982,19414.23046875,1198000
2024-10-01,7741.T,19306.293026209172,19953.924710951134,19281.76152299925,19679.171875,868100
2024-10-02,7741.T,19428.948716939547,19644.82592490554,19321.01011295655,19478.01171875,869000
2024-10-03,7741.T,19845.986045768943,19870.517548915752,19458.388296049354,19684.078125,751800
2024-10-04,7741.T,19630.109449003994,19983.3631056719,19620.296847429883,19811.642578125,619000
2024-10-07,7741.T,20213.95802503624,20508.33605452706,20130.55091668051,20307.177734375,759900
2024-10-08,7741.T,20022.61248764674,20532.867743396622,19998.08098496646,20478.8984375,770800
2024-10-09,7741.T,20851.777827580918,21043.123553528134,20660.432101633705,20994.060546875,643700
2024-10-10,7741.T,21195.219181488414,21239.375888116516,20866.497032145886,20964.623046875,568600
2024-10-11,7741.T,21067.65426199777,21229.562177844513,20832.151838947957,20881.21484375,924100
2024-10-15,7741.T,20984.24764212004,21097.09255579055,20817.433421911464,21023.498046875,1021200
2024-10-16,7741.T,20017.706121888725,20258.11484737219,19723.32809068448,20106.01953125,1179500
2024-10-17,7741.T,19904.85947616765,19904.85947616765,19478.011368100953,19512.35546875,1227900
2024-10-18,7741.T,19821.455944724086,20042.239488662846,19693.892119337248,19738.048828125,821700
