date,symbol,open,high,low,close,volume
2024-06-26,8035.T,33565.33596270161,34244.48639112903,33287.936491935485,34101.00390625,3055600
2024-06-27,8035.T,33766.21246408046,34292.314924568964,33163.58600933908,33287.9375,2909600
2024-06-28,8035.T,33613.16574140401,33938.39272922636,33383.59375,33383.59375,2793000
2024-07-01,8035.T,33727.94834820147,33814.0378363279,33144.45292867784,33307.06640625,1922700
2024-07-02,8035.T,33154.01975526034,33555.77071594151,32780.965291770684,33527.07421875,2217100
2024-07-03,8035.T,33957.52219262723,34426.23165387757,33823.60520369856,34397.53515625,2566200
2024-07-04,8035.T,34627.104951185494,34741.89093444909,34282.7470013947,34292.3125,1805100
2024-07-05,8035.T,34445.36079701677,34981.02872387957,34110.56834272752,34789.71875,2793300
2024-07-08,8035.T,34665.368574847394,34961.89904554835,34397.53460131105,34474.05859375,2187300
2024-07-09,8035.T,35067.11794577206,36148.01928998162,34961.8974609375,35774.96484375,4006600
2024-07-10,8035.T,35612.354285100475,36224.546247025384,35248.865307707565,36176.71875,3358900
2024-07-11,8035.T,37200.224549318336,37238.48654422635,36205.412681709924,36396.72265625,3550400
2024-07-12,8035.T,35057.55445224965,35306.2574306285,33890.563553702734,34148.83203125,6256200
2024-07-16,8035.T,34378.40721790119,34655.806719659435,34129.70421632483,34512.32421875,2325500
2024-07-17,8035.T,34148.83352987422,34187.095528227015,31661.8036369422,31939.203125,7158100
2024-07-18,8035.T,28792.15077073761,29480.86666957253,28462.141069212546,29146.07421875,8745400
2024-07-19,8035.T,28887.806760306383,30054.797629431345,28887.806760306383,29815.66015625,4908000
2024-07-22,8035.T,29413.908877104255,29633.915350006173,28916.502938369485,29050.419921875,3191500
2024-07-23,8035.T,29720.005991402948,30131.322456684677,29098.24854388406,29433.041015625,3562400
2024-07-24,8035.T,29174.771622785433,29940.011534202757,29079.116633858266,29155.640625,3371800
2024-07-25,8035.T,27701.686175025854,28093.871649188855,27357.328197711995,27749.513671875,6087100
2024-07-26,8035.T,27271.236065469457,27390.804796026583,26352.948214790722,26424.689453125,7893000
2024-07-29,8035.T,27357.327846761524,27687.337570787142,27060.79737010082,27395.58984375,4298500
2024-07-30,8035.T,27328.629697509088,27668.204900260775,26816.875518714292,27625.16015625,3723900
2024-07-31,8035.T,26668.61106493794,30800.90661015071,26515.563081781915,29672.177734375,8043200
2024-08-01,8035.T,30341.764661780257,30380.026660092713,29059.987718312866,29404.345703125,7102400
2024-08-02,8035.T,26152.073747343373,26850.355160494822,25587.709317536035,25879.45703125,7673500
2024-08-05,8035.T,23751.135075131773,24392.02353668386,21096.708984375,21096.708984375,9564800
2024-08-06,8035.T,23488.081848203867,25080.7373675384,23028.937914702023,24597.6796875,11516600
2024-08-07,8035.T,23971.140510737616,25783.80257250329,23803.744278120732,24525.939453125,8790500
2024-08-08,8035.T,23894.615634449376,25162.04420593238,23210.68248078119,24516.373046875,7814700
2024-08-09,8035.T,26754.7026195031,27041.66761005909,23808.528716461646,24688.5546875,13506600
2024-08-13,8035.T,25645.10427691606,26419.909739963503,25549.4492814781,26209.46875,7447200
2024-08-14,8035.T,26687.741477272728,26773.830965909092,25458.5748895202,26042.0703125,7507300
2024-08-15,8035.T,25884.240259832095,26678.176675784078,25836.412764895227,26419.908203125,5210900
2024-08-16,8035.T,27376.46005790235,27921.6935391394,27175.584564815017,27696.904296875,6459500
2024-08-19,8035.T,27529.50649950989,27869.08171866646,26668.61157770451,26836.0078125,5805700
2024-08-20,8035.T,27400.370794988226,27505.59127980054,26974.706106429327,27170.798828125,4225600
2024-08-21,8035.T,26859.922433035714,26969.925676618303,26410.343959263395,26783.3984375,3676900
2024-08-22,8035.T,26969.925570519015,27084.71156337102,26419.909354769825,26596.87109375,3925100
2024-08-23,8035.T,26462.9531026621,26558.608093092833,25764.671672517754,25927.28515625,4205900
2024-08-26,8035.T,25683.365612149035,25908.154845625944,25257.700893437443,25295.962890625,3864000
2024-08-27,8035.T,24846.385630367364,25138.1333730916,24525.941388358777,25061.609375,3878600
2024-08-28,8035.T,24812.903548885548,25052.041015625,24525.938588798206,25052.041015625,3626400
2024-08-29,8035.T,24224.626581553028,25032.911259200107,24176.799085834267,24612.029296875,5087900
2024-08-30,8035.T,24640.72478686301,24851.165759421623,24344.19432553042,24683.76953125,6278000
2024-09-02,8035.T,25295.963454946133,25295.963454946133,24219.844760039177,24415.9375,3813200
2024-09-03,8035.T,24726.814945969625,24726.814945969625,23952.009525999205,24052.447265625,3121100
2024-09-04,8035.T,22565.01243222032,22789.80166162141,21756.727756288732,21995.865234375,6774200
2024-09-05,8035.T,21570.201557274246,21962.387040133777,21149.319575668895,21450.6328125,5567800
2024-09-06,8035.T,21632.375840731536,21804.554821555397,20862.353176491477,21044.09765625,4987000
2024-09-09,8035.T,19609.27425508721,20565.82421875,19561.446756904068,20565.82421875,6414600
2024-09-10,8035.T,21044.09780716532,21493.676260318396,20221.46489288522,21292.80078125,7054300
2024-09-11,8035.T,21264.103653689217,21809.33708070689,20761.91497090978,21244.97265625,7219700
2024-09-12,8035.T,22612.838414143043,22885.455120912535,21914.55702487382,22268.48046875,6420200
2024-09-13,8035.T,22737.191053235852,22756.322051177154,22005.430381981103,22651.1015625,7084700
2024-09-17,8035.T,22335.440906653854,22450.226898465353,21068.01224706857,21464.98046875,7135900
2024-09-18,8035.T,21962.386754395728,21962.386754395728,21302.367291828956,21488.89453125,4196200
2024-09-19,8035.T,22048.47579465546,22249.3512791187,21675.421323509447,22019.779296875,5570500
2024-09-20,8035.T,22899.805009731386,23320.68697315168,22708.495026358527,23191.552734375,6722600
2024-09-24,8035.T,23607.65104600333,23947.226253512697,22880.67313696919,22976.328125,5644700
