date,symbol,open,high,low,close,volume
2026-06-22,9984.T,7300.0,7394.0,7104.0,7244.0,44993100
2026-06-23,9984.T,6944.0,6977.0,6500.0,6513.0,52827500
2026-06-24,9984.T,6521.0,6723.0,6356.0,6597.0,45870800
2026-06-25,9984.T,6797.0,7188.0,6401.0,7118.0,83407000
2024-06-26,9984.T,2521.540051154656,2524.020661141035,2476.641010401189,2504.17578125,28226400
2024-06-27,9984.T,2495.4935702007274,2521.539974263459,2484.3308256024143,2514.09814453125,20040400
2024-06-28,9984.T,2550.0670500857195,2602.15985947463,2537.664000231217,2577.353759765625,36589200
2024-07-01,9984.T,2594.717871047269,2636.8882379763354,2584.795431769842,2605.880615234375,28057600
2024-07-02,9984.T,2587.2761380887146,2622.004676855006,2559.989429058057,2617.04345703125,25005200
2024-07-03,9984.T,2630.6865788566233,2661.6942000124063,2600.919262547072,2655.49267578125,29328000
2024-07-04,9984.T,2707.585479545423,2775.80224609375,2629.44627422643,2775.80224609375,48676800
2024-07-05,9984.T,2768.360654753619,2806.810108291864,2748.5157755080736,2784.484619140625,41956000
2024-07-08,9984.T,2826.655085836984,2879.988200664097,2794.4071559415206,2795.6474609375,49130800
2024-07-09,9984.T,2831.6159227766343,2929.6000042042974,2809.2904358690657,2909.755126953125,53700800
2024-07-10,9984.T,2892.390983829942,2946.964398619186,2877.507325251057,2933.321044921875,42541200
2024-07-11,9984.T,2989.1346443739512,3021.3825699979025,2929.6000124528105,2956.88671875,42384400
2024-07-12,9984.T,2923.3988170481502,2937.0421717310223,2824.1744193545346,2826.655029296875,54096000
2024-07-16,9984.T,2861.383633816842,2888.6703438055592,2830.3760088296635,2834.096923828125,24244800
2024-07-17,9984.T,2853.941711829275,2872.5462862219038,2791.9264638538452,2814.251953125,25634800
2024-07-18,9984.T,2641.849365234375,2691.461559886664,2635.647840902839,2641.849365234375,37077600
2024-07-19,9984.T,2636.888413564462,2654.252683456232,2593.477738835038,2607.12109375,25220000
2024-07-22,9984.T,2614.562820405506,2635.648004441034,2589.7567215401787,2604.640380859375,17792000
2024-07-23,9984.T,2630.6867689893425,2635.6479887328396,2546.3460333498915,2574.873046875,19708800
2024-07-24,9984.T,2573.6326441882484,2603.3999615186185,2545.1056317466437,2563.710205078125,18047200
2024-07-25,9984.T,2430.997590137814,2438.9355414525494,2322.594942495954,2323.091064453125,66116800
2024-07-26,9984.T,2307.4632311551327,2338.7189145700486,2264.0525597455276,2275.71142578125,53414000
2024-07-29,9984.T,2309.4479432238654,2367.494218058923,2295.8045880275913,2327.556396484375,42634000
2024-07-30,9984.T,2282.160999606686,2310.6880121017693,2265.5409140660718,2305.974853515625,30757600
2024-07-31,9984.T,2230.316432630618,2281.416998209742,2203.773905849228,2272.73486328125,61708000
2024-08-01,9984.T,2182.9368105274693,2184.177115533451,2109.75881517456,2122.161865234375,63512800
