date,symbol,open,high,low,close,volume
2024-06-26,8801.T,1395.1556245764907,1412.3975066515864,1387.0136247076955,1408.0870361328125,9675200
2024-06-27,8801.T,1402.8186881711977,1411.9185704092492,1381.7452766725523,1392.281982421875,7662900
2024-06-28,8801.T,1411.9186216204353,1416.2290923105927,1392.7609741086249,1406.6502685546875,8013900
2024-07-01,8801.T,1431.5551672098272,1445.4444612376242,1401.860814460744,1411.9185791015625,6121100
2024-07-02,8801.T,1422.4553121342833,1426.2868415945777,1397.071429459833,1419.5816650390625,8265700
2024-07-03,8801.T,1424.8499789893087,1426.2868024975332,1390.8451559613286,1425.807861328125,6969400
2024-07-04,8801.T,1436.8234545259156,1459.8126297983301,1427.2446314957429,1444.9654541015625,6441400
2024-07-05,8801.T,1452.1496091179251,1464.6020793808098,1435.865609543384,1455.502197265625,6105500
2024-07-08,8801.T,1459.3337846531624,1459.8127258361797,1432.992019587221,1437.302490234375,6163300
2024-07-09,8801.T,1437.781334220323,1441.6128634254405,1414.3132178389787,1427.24462890625,6269300
2024-07-10,8801.T,1422.4552208269147,1432.0340438627861,1409.523809728488,1428.2025146484375,7233500
2024-07-11,8801.T,1452.1495792212618,1452.1495792212618,1424.370992283652,1430.1182861328125,5748900
2024-07-12,8801.T,1414.7923143991186,1477.054670821558,1407.6081963503757,1472.2652587890625,11136400
2024-07-16,8801.T,1482.3230038274744,1488.0702981880331,1452.6286496312534,1466.5179443359375,6142000
2024-07-17,8801.T,1475.1388210720486,1518.2435268825955,1469.3915269639758,1517.28564453125,8485600
2024-07-18,8801.T,1494.2964697873444,1525.4276462412474,1494.2964697873444,1500.522705078125,8846900
2024-07-19,8801.T,1494.296437164961,1499.564789988299,1461.249496727659,1474.180908203125,6769100
2024-07-22,8801.T,1471.3073122529645,1473.7020181648345,1450.7128414108818,1454.0654296875,4701700
2024-07-23,8801.T,1465.5599355374093,1494.7753460170766,1457.4179358955348,1482.3228759765625,8279200
2024-07-24,8801.T,1475.6177828943305,1477.0546064414525,1446.4023707695158,1454.0654296875,7138300
2024-07-25,8801.T,1432.9920215568104,1438.7393157609154,1405.2134329036369,1420.53955078125,8282900
2024-07-26,8801.T,1414.313232421875,1437.3024078896196,1392.7608804208644,1414.313232421875,6008200
2024-07-29,8801.T,1443.0496468787196,1486.6332903788734,1432.0340007193402,1483.7596435546875,6797000
2024-07-30,8801.T,1488.549033741534,1521.1170306187619,1479.9280933916796,1511.5382080078125,10865800
2024-07-31,8801.T,1457.4180221630347,1518.2435524997766,1455.9811986117732,1507.2279052734375,11433800
2024-08-01,8801.T,1425.328898688645,1436.3445454191017,1364.9823122522307,1385.5767822265625,17302900
2024-08-02,8801.T,1331.4564786837277,1354.9245964734769,1309.4251844321263,1313.2567138671875,15095300
2024-08-05,8801.T,1227.0473112240104,1317.5671948388965,1187.7741342059119,1194.958251953125,27862900
2024-08-06,8801.T,1367.3770515606896,1410.0028160401648,1313.7356400809008,1395.1556396484375,23668600
2024-08-07,8801.T,1366.4192120479702,1475.1388619375214,1347.740505679281,1407.608154296875,19195900
2024-08-08,8801.T,1385.5767547321022,1428.6814584742,1367.855932082573,1377.9136962890625,11252400
2024-08-09,8801.T,1395.1556275264727,1398.0292745450647,1338.6405694941611,1374.5611572265625,14127000
2024-08-13,8801.T,1401.3818303110127,1441.6128876405155,1392.7608894546906,1433.9498291015625,10535700
2024-08-14,8801.T,1433.4709540269437,1450.712836534451,1408.5660126272105,1435.38671875,9423900
2024-08-15,8801.T,1434.9078054937202,1444.9655704854986,1408.5660400390625,1408.5660400390625,9588500
2024-08-16,8801.T,1426.286755973162,1451.1916959700068,1422.9341678966634,1446.8812255859375,6977000
2024-08-19,8801.T,1439.218227776251,1465.0810511705665,1423.8921102092495,1429.639404296875,6705300
2024-08-20,8801.T,1448.3180109515672,1453.5863635046317,1421.4973070450567,1436.344482421875,7149000
2024-08-21,8801.T,1416.2289613056214,1446.4022533456127,1412.3974321576861,1438.26025390625,4922400
2024-08-22,8801.T,1427.2446766305477,1442.5707939634933,1417.6658532974568,1440.655029296875,5358200
2024-08-23,8801.T,1453.1075064974477,1458.8548005244647,1432.0340950650523,1442.57080078125,6543700
2024-08-26,8801.T,1453.5864066522997,1488.0701698414152,1449.2759362536601,1482.3228759765625,8154800
2024-08-27,8801.T,1458.854831088058,1489.0281253620396,1456.4601251932977,1485.675537109375,4963300
2024-08-28,8801.T,1476.5756412202802,1489.028111759277,1468.4336412524744,1481.843994140625,3997700
2024-08-29,8801.T,1484.7175714227906,1499.0858059849465,1470.3493368606346,1479.44921875,5035000
2024-08-30,8801.T,1465.5600637319137,1513.9331246590127,1455.0233573913574,1501.9595947265625,12528100
2024-09-02,8801.T,1520.1593593069338,1521.5961828979612,1477.5335927731223,1484.23876953125,5938600
2024-09-03,8801.T,1488.5490442366886,1503.3962193883415,1486.154338567067,1497.64892578125,4957900
2024-09-04,8801.T,1427.7236054753373,1445.4444284886172,1414.313252924747,1420.060546875,7331900
2024-09-05,8801.T,1400.423908146561,1428.2024945598648,1375.5189686035988,1405.6922607421875,8603000
2024-09-06,8801.T,1397.5502974538292,1406.650179445475,1377.9137099981722,1381.7452392578125,6837700
2024-09-09,8801.T,1341.03517320421,1388.9292865329319,1339.1194086710611,1379.3504638671875,7679900
2024-09-10,8801.T,1355.4035254661944,1389.4083488966182,1355.4035254661944,1361.6297607421875,6682300
2024-09-11,8801.T,1345.345816523895,1355.4035816171674,1296.4938146422871,1307.9884033203125,12390600
2024-09-12,8801.T,1346.30354385239,1351.0929552499438,1320.9196634453547,1333.85107421875,10809000
2024-09-13,8801.T,1333.8510880297843,1353.9666161077919,1321.8775594119227,1337.6826171875,10549600
2024-09-17,8801.T,1337.2036556013293,1345.3456549370107,1290.7463652742058,1315.17236328125,9635400
2024-09-18,8801.T,1313.2566486787514,1319.482883701663,1282.125473564193,1295.056884765625,9939500
2024-09-19,8801.T,1323.79345703125,1344.3879283237043,1317.0882803313812,1323.79345703125,9503900
2024-09-20,8801.T,1345.8246532722499,1349.1772413764868,1308.4672429678956,1313.735595703125,16960700
2024-09-24,8801.T,1334.8091010798757,1351.5720427870147,1322.8355712890625,1322.8355712890625,12746400
2024-09-25,8801.T,1309.9040211078732,1326.6669610489246,1298.4094337197237,1318.0460205078125,8313300
2024-09-26,8801.T,1337.203623794895,1360.6717389689459,1330.4984480308806,1356.8402099609375,11987100
2024-09-27,8801.T,1382.495983799258,1424.1257648240255,1358.776689959565,1418.801025390625,18248900
2024-09-30,8801.T,1306.9813818140415,1331.1847407365237,1285.1983587838074,1295.36376953125,20775000
2024-10-01,8801.T,1315.6946274606805,1336.993583902281,1309.4017539665713,1324.4078369140625,12378100
2024-10-02,8801.T,1310.8538395272215,1327.7961897426767,1304.0768994410394,1314.2423095703125,9790400
2024-10-03,8801.T,1372.3305252795567,1375.7189957123458,1348.6112322500335,1353.451904296875,11584500
2024-10-04,8801.T,1352.9677737017214,1356.840311157755,1341.350161333621,1341.834228515625,8317200
2024-10-07,8801.T,1361.1968941142127,1368.4579017286198,1348.1270804082797,1360.228759765625,7795800
2024-10-08,8801.T,1350.547330492854,1361.6808747944078,1329.2483761768376,1333.60498046875,9361300
2024-10-09,8801.T,1344.7386909051754,1346.1908925152243,1330.2166748046875,1330.2166748046875,4086500
2024-10-10,8801.T,1337.9616910595914,1354.419975247734,1336.0254223315746,1341.834228515625,6016600
2024-10-11,8801.T,1334.5731837179808,1342.3182584149297,1310.369825290016,1312.7901611328125,7862500
2024-10-15,8801.T,1328.2804075250972,1328.2804075250972,1305.5292489413948,1307.9495849609375,8410700
2024-10-16,8801.T,1286.6506073066014,1323.9237814084104,1281.8099353453276,1304.0770263671875,7006900
2024-10-17,8801.T,1312.7902666527345,1335.0573581962542,1306.9814601631206,1321.0194091796875,7104500
2024-10-18,8801.T,1324.89195208443,1346.6749765067168,1321.987548828125,1321.987548828125,7861000
2024-10-21,8801.T,1330.7006355860385,1331.1847027506751,1308.917613177391,1310.8538818359375,8012200
2024-10-22,8801.T,1306.9813818140415,1314.242389490786,1288.586829032955,1295.36376953125,7198400
2024-10-23,8801.T,1292.459408991254,1312.790231155161,1291.0072074081174,1291.975341796875,6643300
2024-10-24,8801.T,1269.708230482077,1288.1027835733155,1265.8356929891845,1276.96923828125,9311700
2024-10-25,8801.T,1265.835698630275,1276.4851767831874,1263.8994298752,1266.8038330078125,4836900
2024-10-28,8801.T,1261.9630507384054,1291.9752138169558,1260.9949164455488,1279.87353515625,6330200
2024-10-29,8801.T,1279.873683443623,1296.3319683290554,1273.0967426084449,1284.71435546875,4714900
2024-10-30,8801.T,1285.1984331462506,1300.6885837529098,1282.2940299075021,1286.650634765625,12502100
2024-10-31,8801.T,1273.09673740853,1292.9434926304882,1273.09673740853,1283.7462158203125,10595000
2024-11-01,8801.T,1276.9692171162071,1288.1027622237405,1268.7400750802044,1273.0966796875,5614500
