date,symbol,open,high,low,close,volume
2024-06-26,9983.T,39988.720365466106,40762.82203389831,39802.54401483051,40468.859375,1151800
2024-06-27,9983.T,40155.303118825635,40223.894412586444,39488.98769372067,39675.1640625,1310700
2024-06-28,9983.T,39596.77645964312,40018.12300449951,39498.78889107187,39743.7578125,1307500
2024-07-01,9983.T,40047.51898753702,40194.5003393386,39508.58736426456,39704.5625,969800
2024-07-02,9983.T,39430.19567876994,40547.25390625,39420.396922388536,40547.25390625,1367900
2024-07-03,9983.T,40841.21872020262,41448.741647422525,40811.822449530686,41105.78515625,1512600
2024-07-04,9983.T,40978.396556747546,41242.962962063706,40704.03139567894,40988.1953125,1088500
2024-07-05,9983.T,41252.765625,41458.53951529098,40978.40043794537,41252.765625,1030300
2024-07-08,9983.T,41262.563503143494,41478.13614552515,41105.783399593194,41399.74609375,1076000
2024-07-09,9983.T,41605.51805778491,42889.15509630819,41605.51805778491,42732.375,1921600
2024-07-10,9983.T,42526.603383059955,43594.66784590639,42448.21333074095,43310.50390625,1758900
2024-07-11,9983.T,44094.40377834624,44427.56149578263,43859.23362486173,44290.37890625,1853400
2024-07-12,9983.T,43310.50117341897,43545.67131553708,42085.65668322047,42144.44921875,4023800
2024-07-16,9983.T,42134.65047018483,42134.65047018483,41458.53631147722,41615.31640625,1552100
2024-07-17,9983.T,41850.491798534094,41928.88185575448,41497.73654104235,41527.1328125,1348300
2024-07-18,9983.T,40841.21526868603,41536.9269491267,40694.23392774786,41164.57421875,1407400
2024-07-19,9983.T,41154.775034488965,41154.775034488965,40478.66087320807,40841.21484375,1159500
2024-07-22,9983.T,40762.83000721327,40909.81136541236,40410.074747535466,40753.03125,903700
2024-07-23,9983.T,40929.40496997519,41037.19128902468,40449.26591239109,40488.4609375,712100
2024-07-24,9983.T,39998.52458135066,40537.45619623902,39812.348205298316,40155.3046875,962200
2024-07-25,9983.T,39439.995235212125,39743.75668919761,39244.020103608585,39322.41015625,1590600
2024-07-26,9983.T,39733.95529088892,40292.48437882497,39567.37644010098,40027.91796875,1668400
2024-07-29,9983.T,40370.87471149174,40958.800071367834,40008.320739568146,40331.6796875,1190200
2024-07-30,9983.T,39714.36035585613,40116.109375,39253.81879732536,40116.109375,1396200
2024-07-31,9983.T,39733.957110969386,41242.96559311224,39684.963329081635,40811.8203125,1969700
2024-08-01,9983.T,40155.30554288321,40272.890625,38989.25347855839,40272.890625,1992500
2024-08-02,9983.T,39048.044526795675,40253.291572415714,39048.044526795675,39528.18359375,2784800
2024-08-05,9983.T,38842.26809706608,39273.41335344118,34432.827975047985,35736.0625,3144500
2024-08-06,9983.T,38420.924614938325,38861.86866178154,35971.23546580939,38528.7109375,4001900
2024-08-07,9983.T,36470.97028009793,39185.22572544643,36461.17152397754,38273.94140625,2797800
2024-08-08,9983.T,37274.46618505271,39263.61356559049,37264.667429483554,39038.2421875,2043800
2024-08-09,9983.T,39116.63470452825,39665.36505108476,38205.35037899691,38842.26953125,3034000
2024-08-13,9983.T,39528.18156365456,39782.94921875,38920.65869381157,39782.94921875,1954400
2024-08-14,9983.T,40214.09272020565,40253.2877423501,39253.814677666625,39547.77734375,1676600
2024-08-15,9983.T,39586.97649993934,40439.46832060634,39302.812559717,40380.67578125,1419500
2024-08-16,9983.T,41507.53525714286,43104.732671428574,41174.37751428571,42869.5625,2413900
2024-08-19,9983.T,42595.194949383804,42908.75516065141,41625.118045774645,41742.703125,1566600
2024-08-20,9983.T,42262.034698825024,43359.49537266421,41977.87077434881,43261.5078125,1625800
2024-08-21,9983.T,42575.597327396186,43251.711531214445,42183.64706431314,43065.53515625,1374300
2024-08-22,9983.T,43428.08536348502,44437.35720293424,43222.31149330605,44143.39453125,1773300
2024-08-23,9983.T,44270.782937664146,45025.28720641141,44202.191640505305,44770.51953125,1318900
2024-08-26,9983.T,44809.71349644764,45466.2301822692,44750.92095741884,45427.03515625,1545700
2024-08-27,9983.T,45329.04943894788,46034.55993605212,45035.0867318211,45681.8046875,1214400
2024-08-28,9983.T,45515.222812669104,45956.16684422349,45270.25390625,45270.25390625,1160400
2024-08-29,9983.T,44635.142743160075,45797.0546875,44408.66838112771,45797.0546875,1301100
2024-08-30,9983.T,45826.59243033226,46053.06678054662,45353.950308145766,45934.90625,2745300
2024-09-02,9983.T,46574.93896171508,46850.64684563221,45836.43570122277,46102.296875,1142500
2024-09-03,9983.T,45836.442959437525,46555.25291347382,45787.209400941894,46259.8515625,973900
2024-09-04,9983.T,45757.66933004482,46151.537798562524,44960.085681296456,45038.859375,2475200
2024-09-05,9983.T,43660.317414314515,44044.339150705644,42902.12065272177,43345.22265625,2169500
2024-09-06,9983.T,43916.331650368484,44605.60142963436,43404.30267148526,43423.99609375,1660600
2024-09-09,9983.T,42636.255970600796,43227.05859375,41868.212560506836,43227.05859375,1638200
2024-09-10,9983.T,43345.22189361824,43512.61598089482,42606.71856739803,42971.046875,1391800
2024-09-11,9983.T,42823.35053995484,42921.8176600743,41868.21947479604,42242.39453125,1855400
2024-09-12,9983.T,43404.3032976752,43906.48557267099,43207.36907218666,43837.55859375,1836400
2024-09-13,9983.T,44044.33555577306,44310.196736190206,43010.430965261956,43227.05859375,1963700
2024-09-17,9983.T,43571.697836006635,43778.47877488938,43059.66884448747,43394.45703125,1285700
