date,symbol,open,high,low,close,volume
2024-06-26,6098.T,8335.44254137511,8484.520445417827,8284.756054000587,8477.5634765625,5138000
2024-06-27,6098.T,8328.485473775585,8512.348219915022,8298.66989332054,8497.4404296875,5707700
2024-06-28,6098.T,8497.442182326158,8560.05491419593,8261.899048149398,8554.091796875,5322200
2024-07-01,6098.T,8517.317307390691,8564.028382472065,8353.331618275235,8415.9443359375,4334800
2024-07-02,6098.T,8447.747217465754,8633.59765625,8305.626293689566,8633.59765625,4658600
2024-07-03,6098.T,8646.518995610368,8709.131719371684,8574.961597026006,8617.697265625,3516900
2024-07-04,6098.T,8646.518524799507,8791.6210195835,8568.004161183511,8767.7685546875,2873100
2024-07-05,6098.T,8845.289925114099,9037.103515625,8801.560401888815,9037.103515625,4990100
2024-07-08,6098.T,9024.18395792869,9065.925777998405,8915.853996319194,8954.6142578125,4048400
2024-07-09,6098.T,9034.12136478024,9169.285336794554,8945.668471329696,9095.740234375,3916400
2024-07-10,6098.T,9193.138634188172,9491.294481783463,9178.230841808407,9425.7001953125,9476600
2024-07-11,6098.T,9446.569460373967,9460.483397506554,9252.768193170083,9382.962890625,6272400
2024-07-12,6098.T,9134.499825125507,9455.514235256673,9100.708834585384,9440.6064453125,7139900
2024-07-16,6098.T,9392.90221391799,9449.55181990607,9284.572265625,9284.572265625,3947600
2024-07-17,6098.T,9286.560773184836,9370.044410272543,9194.132460694876,9280.59765625,3139600
2024-07-18,6098.T,9045.053671673868,9240.842658963149,9044.05981894651,9071.8876953125,3773000
2024-07-19,6098.T,9051.017075241845,9101.703565945407,8935.730155210216,9072.8818359375,3872700
2024-07-22,6098.T,9022.195890285893,9039.091388207777,8877.09337872148,8929.767578125,3223500
2024-07-23,6098.T,8944.67450526052,9063.936831997327,8897.963427288605,8926.78515625,3026300
2024-07-24,6098.T,8852.24691591138,8915.853495300436,8797.58501174891,8882.0625,2578100
2024-07-25,6098.T,8606.765160026434,8611.734423975642,8081.017034200339,8224.1318359375,7126400
2024-07-26,6098.T,8075.05332801356,8160.524661700842,7961.754118242046,7977.65576171875,6159900
2024-07-29,6098.T,8126.732790562727,8293.700029013813,8037.286055678216,8229.099609375,3788900
2024-07-30,6098.T,8229.100461760303,8492.471430645144,8203.260291228205,8464.6435546875,4859500
2024-07-31,6098.T,8315.56524188702,8608.75177784455,8277.798840645031,8604.7763671875,5289400
2024-08-01,6098.T,8497.441333277116,8530.238475265205,8286.744542323346,8379.1728515625,4226800
2024-08-02,6098.T,7931.938785377779,8018.403974492911,7754.039143405266,7833.54736328125,8212700
2024-08-05,6098.T,7050.390963247618,7295.872576994751,6765.155242011071,7041.4462890625,9237300
2024-08-06,6098.T,7488.680036741522,7709.315334439812,7057.347968268287,7535.39111328125,9301700
2024-08-07,6098.T,7095.114445931655,7963.741708257508,6973.864416179076,7731.18017578125,6499800
2024-08-08,6098.T,7582.102491760843,7938.895622517448,7542.348382484341,7725.21728515625,5223400
2024-08-09,6098.T,7956.784454235425,8305.626740450343,7903.116410202361,8250.96484375,10357400
2024-08-13,6098.T,8400.0422582654,8524.273834493886,8105.861885756341,8229.099609375,6947900
2024-08-14,6098.T,8345.381379241782,8600.801531018027,8050.207118239661,8434.828125,5266900
2024-08-15,6098.T,8385.134239983105,8447.746952691286,8102.880106504948,8235.0625,5009400
2024-08-16,6098.T,8384.140907881669,8840.31927164621,8378.177792015465,8755.841796875,5489400
2024-08-19,6098.T,8639.560699706344,8689.25332998189,8418.925421282922,8471.599609375,4427000
2024-08-20,6098.T,8486.50839280637,8619.684657548853,8405.012469605748,8410.9755859375,4386200
2024-08-21,6098.T,8308.60908611771,8586.887859336965,8248.977920427871,8573.9677734375,3086000
2024-08-22,6098.T,8578.936075106534,8800.565216064453,8537.194263805042,8745.9033203125,3951200
2024-08-23,6098.T,8799.572594390718,8961.570599008483,8735.966015890492,8773.732421875,4243500
2024-08-26,6098.T,8623.660089382038,8728.014625441172,8542.164165983475,8694.2236328125,3675300
2024-08-27,6098.T,8559.059570422685,8811.498159703613,8514.336198305984,8808.5166015625,4286900
2024-08-28,6098.T,8769.756939859815,8905.914770861718,8746.898325895992,8844.2958984375,3337500
2024-08-29,6098.T,8791.620908641891,8833.362721683148,8668.383174901037,8693.2294921875,5988400
2024-08-30,6098.T,8766.774070695052,9039.089691981804,8734.970786457183,8991.384765625,7060500
2024-09-02,6098.T,9109.65420102005,9252.768995362936,8985.422608708519,9052.0107421875,3272900
2024-09-03,6098.T,8917.840477222164,9052.01059473303,8905.914244554531,9004.3056640625,2379900
2024-09-04,6098.T,8636.580351367327,8716.08857094263,8259.910161129326,8354.326171875,5270700
